TURL,Nombre,Categoria,Dirección,Teléfono,Latitud,Longitud,Imagen
"https://www.google.com/maps/place/Bomba+Mayorista+Textil/data=!4m2!3m1!1s0x9432a339f355f087:0x1e497505069bf797","Bomba Mayorista Textil","Tienda de ropa","11 de Septiembre 2720 Pasaje Sivori 345 San Martin 347 peatonal, X5001 Córdoba","0351 688-9718","","","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"https://www.google.com/maps/place/KIKA+MAYORISTA/data=!4m2!3m1!1s0x9432a3abdaf8c0cb:0x1d030a64e9613f18","KIKA MAYORISTA","Mercado mayorista de ropa","Ituzaingó 169 X5000, X5000 Córdoba","0351 15-801-7401","","","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"https://www.google.com/maps/place/Mariana+Tejidos/data=!4m2!3m1!1s0x942d67fb80ca4f33:0x9d7415640aa51994","Mariana Tejidos","Tejeduría","Alejandro Magno, Los Sauces y, X5152 Villa Carlos Paz, Córdoba","03541 57-3657","-31.4210524","-64.514429","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"https://www.google.com/maps/place/As+Textil/data=!4m2!3m1!1s0x942d65bbb8c40b1d:0xa9b7972ab9970230","As Textil","Fábrica","Av. los Olmos, X5152 Santa Cruz del Lago, Córdoba","03541 66-4765","-31.3734834","-64.5153424","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"https://www.google.com/maps/place/Algodonera+Paso+Viejo+-+Remeras,+Chombas,+Buzos,+Musculosas,+Articulos+%0ATextiles+para+Estampar/data=!4m2!3m1!1s0x943298f11907decb:0x4ca9e3241796fd4e","Algodonera Paso Viejo - Remeras, Chombas, Buzos, Musculosas, Articulos Textiles para Estampar","Mayorista textil","Gral. Tomás Guido 1851, X5008 Córdoba","0351 648-2765","","","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"https://www.google.com/maps/place/Fabrica+textil/data=!4m2!3m1!1s0x94329b2b3fedfd85:0xff460276f11f6c80","Fabrica textil","Fábrica","Córdoba","","","","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"https://www.google.com/maps/place/(LB)+fabrica+textil+de+corte/data=!4m2!3m1!1s0x94329bd47f69b415:0x69330f8089a6dc10","(LB) fabrica textil de corte","Fábrica","Esteban Echeverría 520, X5145 Juárez Celman, Córdoba","0351 657-7821","","","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"https://www.google.com/maps/place/Figrotex+confecci%C3%B3n+textil/data=!4m2!3m1!1s0x94329dc508580245:0xaa2bed41e778e111","Figrotex confección textil","Fábrica","X5000 Córdoba","0351 812-5840","","","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"https://www.google.com/maps/place/Craft+textil/data=!4m2!3m1!1s0x94329d001f90a9bf:0x12b70e88d394a5a5","Craft textil","Fábrica","Juan Manuel Fangio 7783, X5022 Córdoba","0351 515-9045","","","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"https://www.google.com/maps/place/Tu+Fabrica+Textil+POD/data=!4m2!3m1!1s0x942d634c423112a7:0x9717cae038eb9c7d","Tu Fabrica Textil POD","Fábrica","Maria Elena Walsh 808, X5151 La Calera, Córdoba","0351 533-2629","","","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
