"TURL","Nombre","Categoria","Dirección","Teléfono","Latitud","Longitud","Imagen"
"","Bomba Mayorista Textil","Tienda de ropa","11 de Septiembre 2720 Pasaje Sivori 345 San Martin 347 peatonal, X5001 Córdoba","0351 688-9718","-31.420670990078232","-64.18268788804977","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","KIKA MAYORISTA","Mercado mayorista de ropa","Ituzaingó 169 X5000, X5000 Córdoba","0351 15-801-7401","-31.41869392938558","-64.18158592188651","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Mariana Tejidos","Tejeduría","Alejandro Magno, Los Sauces y, X5152 Villa Carlos Paz, Córdoba","03541 57-3657","-31.4210524","-64.514429","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","As Textil","Fábrica","Av. los Olmos, X5152 Santa Cruz del Lago, Córdoba","03541 66-4765","-31.3734834","-64.5153424","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Algodonera Paso Viejo - Remeras, Chombas, Buzos, Musculosas, Articulos Textiles para Estampar","Mayorista textil","Gral. Tomás Guido 1851, X5008 Córdoba","0351 648-2765","-31.387603815108886","-64.20210380976503","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","(LB) fabrica textil de corte","Fábrica","Esteban Echeverría 520, X5145 Juárez Celman, Córdoba","0351 657-7821","-31.274448028153696","-64.16132267358107","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Figrotex confección textil","Fábrica","X5000 Córdoba","0351 812-5840","-31.309911445792935","-64.25195420918006","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Craft textil","Fábrica","Juan Manuel Fangio 7783, X5022 Córdoba","0351 515-9045","-31.331731719921812","-64.26200642372443","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Tu Fabrica Textil POD","Fábrica","Maria Elena Walsh 808, X5151 La Calera, Córdoba","0351 533-2629","-31.36094917043367","-64.34481621959584","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Desarrollos Sostenibles SRL (Reciclar Plastico)","Centro de reciclaje","2716, C. las Quintas, Córdoba","0351 496-2661","-31.37905556697481","-64.10875409397589","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
