ID,Nombre,Categoria,Direccion,Telefono,Latitud,Longitud,Color,Imagen
1,"POLO 52 Parque Industrial","Fabricas","Pilar a 500 mts. de Av. Circunvalación, Au Córdoba - Rosario, Córdoba","+54 03515642685",-31.42153017039745,-64.10264312254009,"#ef4444","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGG2DKl307jPzlELcd1PuHKQRms0qniflXqZtUYdkW9Y6rMbV2NzyVGDhqJOcIiezAJPkThRj_A3Q26Oi-9_oIS4mBlbfzI7hxK_vTDTUHBjRqwVJIXon5VFz0V0t5xelqFhktCAg=w408-h408-k-no"
2,"Tu Fabrica Textil POD","Fabrica","Maria Elena Walsh 808, X5151 La Calera, Córdoba","+54 03515332629",-31.350024245909996,-64.34660756700644,"#ff00d9","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG4_Lk2ZAoRT91KZAuWVEWOYkpD0h5KXyJnvsXD-upGdgKUVJvgl8hRiSV_YBFPNuj7Mj-FqWqKm0uuKuprKaAMDtO6FBRkwab9hAsG4amz5umOs5_G9FYjzjmokvSNN04XNeEpTryx32Q=w408-h306-k-no"
3,"Craft textil","Negocio","Juan Manuel Fangio 7783, X5022 Córdoba","+54 03515159045",-31.328088959188992,-64.2475566906784,"#f59e0b","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mf3w_wW3Zx51Mv3Xp11nEQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=295.71408&pitch=0&thumbfov=100"
4,"Figrotex confección textil","Negocios","X5000 Córdoba","+54 03518125840",-31.304166792080082,-64.24296042201085,"#3b82f6","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFCVuiPtjTPatiGrlnQxmKnahBkQ4_6gS6okedWHujAzNkN5Ibol12M-Ai0urwkyj2a_q2AlgOCYLBA5YlQIsQ2AfBH4BKdy8K2YOvTVQqQquaw0kQFr47ZzaeW4wuZtQmyK7-e=w408-h544-k-no"
5,"Indultex","Negocios","Av. Fuerza Aérea Argentina 2195, X5010 Córdoba","+54 03514661093",-31.429644902580826,-64.2156977380927,"#3b82f6","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGGIDs86Zfm8umtRwT6bH3FTwReZZCXVXvCGaU_Nb-TRrrKBovnvCyaAR-4ZW_01V5fid73BnBT2PZ23y2oPOm7p3Hfx4BXoF9fdlc-8NZCZJ1kEse-Uyi3lLwtBgEbNebw4etCUg=w408-h544-k-no"
6,"Colores y Texturas","Negocios","Av. Fuerza Aérea Argentina 2417, X5010 Córdoba","+54 03517190312",-31.430308556887955,-64.22031944555756,"#fdfd46","https://lh3.googleusercontent.com/gps-proxy/ALd4DhGpWcopoNyX3Npvgg6CFVilf8ZD7QVNFMR-0ehTmI-P8_by0bsB10I1wsnncbKgWa1eqp5HJ5cEb_za0KBMlpol44GWWzgScgEwVJjCZOl06MWZjd5KkkbT2SZ7ivFlbARug24TCRia_q8VbtY8ZBo1mnf1PTySDtJQTEYCUkZLSxtJlcwNyACdlYznVIEKFmQ1194=w408-h543-k-no"
6,"La General SA","Negocios","Boulevard Dr. Arturo H. Illia 431, Centro, X5000ASE Córdoba","+54 03515216335",-31.422168606764387,-64.18004201679096,"#ff00d9","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFVf1RO6GWCJApbzjDi0_L_kI-gtcAeg0UeJkSiZdW6DU7SXogB4FnQq8vFa5ixIxXBr6z2_36UxbTxB1YvNrqsx6KReP3L8S0sBbu-g8BMb5rEB41fAmwG2yzcS3jQNUU5gAbvTn6MlNc=w408-h306-k-no"
7,"Textiles Mayor SRL","Negocios","Entre Ríos 233, X5022 ADE, Córdoba","+54 03514242431",-31.418709677559274,-64.18079929207894,"#c1c9c1","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEUztSl7zoMO9i1opdTNFy9kLoi1G2AHWCHaiAfjtSc8MYQH_AObFgkBBNIkaS5x19qU2NL9kQ0M7FJIGx9UKbpw0VYLn2GNRzay6VFrkcvuv5bWWVw5R697hAOwfftiYBzm9Ps7KTzxQgU=w408-h725-k-no"
8,"Masefer Indumentaria Laboral","Negocios","Entre Ríos 233, X5022 ADE, Córdoba","+54 03514239910",-31.418779548297262,-64.18280329188221,"#c1c9c1","https://lh3.googleusercontent.com/gps-proxy/ALd4DhGpWcopoNyX3Npvgg6CFVilf8ZD7QVNFMR-0ehTmI-P8_by0bsB10I1wsnncbKgWa1eqp5HJ5cEb_za0KBMlpol44GWWzgScgEwVJjCZOl06MWZjd5KkkbT2SZ7ivFlbARug24TCRia_q8VbtY8ZBo1mnf1PTySDtJQTEYCUkZLSxtJlcwNyACdlYznVIEKFmQ1194=w408-h543-k-no"
9,"Trama Club","Negocios","Gral. Paz 81, X5000 Córdoba","+54 0351157523739",-31.41409987996837,-64.18596737437296,"#c1c9c1","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHcl8vX4dB3m8yQI6wY8sUNao6uHMwzqrTmnAg-AsPXCJdXjsNsnX5yfTEojj3gCaTDY5MaHDWTt5dR37ELFeKCrQaoOt5Ve6JBoFnXDnrUIvbMSFoyWYZkcj0uoB_wI-oi8sCP9u161dE=w408-h559-k-no"
10,"Retanil","Negocios","Caseros 3292, X5002AEH Córdoba","+54 __________",-31.403877303822924,-64.22381215953835,"#c1c9c1","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGOvCUdKbOC7Wvv2aEmqGfvWf8eAcYwFVYJ0i9YsmxFLVSWcK-rmCfaeKUlyDU4-DO-CN4iGtM6ALjGj3KzFkGf6anlbFcEPDBSXjL6oI0v-Wj6CEUE8vv4sQ7YHxTb89Aelj_Siw=w426-h240-k-no"
11,"Brufman Textil","Negocios","Alberdi, Av. Colón 3048, X5000EQO Córdoba","+54 03515216329",-31.40083498323738,-64.21870227509503,"#c1c9c1","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXBTweJOm72aQvKsslytyjOdR6GE5e2ILw8QLvsJ82KHkt3Btw-UgvhEz6WunhqQr1teKzovSGzt8mQmGDVNzL5SUT6aNP-Hizsz69cpZ4xiw9kqML298EW1OoBWujEge5EwyT=w426-h240-k-no"
12,"Textil Trejo","Negocios","Obispo Trejo 41, X5000 IYA, Córdoba","+54 0351155942301",-31.415876118153047,-64.18512004203444,"#c1c9c1","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXWU6wM4_4UInwoiVb51YV3e2upXls3SDRyyJVAMX6vobJVFiKCnrIcnjNlvhjWQezgWqz3vkLGMiQdLtgSOk1sr09p1XYIsyepzGYYnXdk2ZimJ61Qu_pR1BVqIfhMVRq21SR=w426-h240-k-no"
